               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042048,            0.016122,          9.9233e-07,            0.073632,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00128,             0.00128,             0.08848
                   1,            0.028576,             0.01494,           3.055e-07,            0.070245,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025694,           0.0025694,            0.076869
                   2,             0.02803,            0.015204,          1.7173e-07,            0.071768,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038562,           0.0038562,            0.065256
                   3,            0.028629,            0.015669,          1.0019e-07,            0.068524,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051387,           0.0051387,            0.053639
                   4,            0.031675,            0.015756,          6.4884e-08,            0.072061,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064149,           0.0064149,            0.042015
                   5,            0.030903,            0.016561,          4.5966e-08,            0.078282,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076829,           0.0076829,            0.030383
                   6,            0.034019,            0.017652,          3.9034e-08,            0.081444,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089409,           0.0089409,            0.018741
                   7,            0.037136,             0.01951,          3.4326e-08,            0.079685,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098808,           0.0098808,           0.0098808
                   8,            0.038329,             0.01935,          3.1705e-08,            0.078562,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098808,           0.0098808,           0.0098808
                   9,            0.038449,            0.018424,          3.0335e-08,            0.074935,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098445,           0.0098445,           0.0098445
                  10,            0.033596,            0.017587,          2.9432e-08,            0.072697,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098035,           0.0098035,           0.0098035
                  11,            0.031467,            0.017144,          2.8203e-08,            0.071212,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097577,           0.0097577,           0.0097577
                  12,            0.029575,            0.016486,          2.7645e-08,            0.067982,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097074,           0.0097074,           0.0097074
                  13,            0.029411,            0.016026,          2.7203e-08,            0.067864,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096524,           0.0096524,           0.0096524
                  14,             0.02947,            0.015561,          2.6918e-08,            0.066623,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095929,           0.0095929,           0.0095929
                  15,            0.028221,             0.01543,           2.607e-08,            0.067552,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095289,           0.0095289,           0.0095289
