               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044256,            0.016187,           8.353e-07,            0.069107,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000128,            0.000128,            0.087328
                   1,            0.030713,            0.014083,          1.1361e-07,            0.062505,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0002563,           0.0002563,            0.074556
                   2,            0.025745,            0.013031,          8.2021e-08,            0.060275,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00038178,          0.00038178,            0.061782
                   3,            0.022699,            0.012641,          7.3031e-08,            0.059214,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0005024,           0.0005024,            0.049002
                   4,            0.021133,            0.012175,          6.9325e-08,            0.059877,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00061616,          0.00061616,            0.036216
                   5,            0.018988,            0.012208,          7.0516e-08,            0.057906,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00072122,          0.00072122,            0.023421
                   6,            0.018089,            0.011288,          7.3895e-08,            0.056645,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00081588,          0.00081588,            0.010616
                   7,            0.017992,            0.011505,            8.28e-08,               0.056,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00087159,          0.00087159,          0.00087159
                   8,            0.017565,            0.011476,          9.1635e-08,            0.054599,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00087159,          0.00087159,          0.00087159
                   9,            0.016483,            0.010854,          1.0334e-07,            0.054341,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00083458,          0.00083458,          0.00083458
                  10,            0.015912,            0.010892,          1.1204e-07,            0.053264,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00079391,          0.00079391,          0.00079391
                  11,            0.015519,             0.01053,          1.2081e-07,            0.053057,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00075003,          0.00075003,          0.00075003
                  12,            0.015289,            0.010573,          1.2986e-07,            0.052248,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007034,           0.0007034,           0.0007034
                  13,            0.014872,            0.010288,          1.3711e-07,            0.051608,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00065454,          0.00065454,          0.00065454
                  14,            0.014621,            0.010245,          1.4273e-07,            0.051168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000604,            0.000604,            0.000604
                  15,            0.014401,            0.010183,          1.4715e-07,            0.051133,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00055231,          0.00055231,          0.00055231
                  16,            0.014285,            0.010297,          1.5246e-07,            0.050948,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00050005,          0.00050005,          0.00050005
                  17,            0.013857,           0.0099434,          1.5604e-07,            0.050672,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00044779,          0.00044779,          0.00044779
                  18,            0.013758,           0.0098538,          1.5866e-07,            0.050435,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0003961,           0.0003961,           0.0003961
                  19,            0.013661,           0.0097664,          1.6131e-07,            0.050271,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00034556,          0.00034556,          0.00034556
                  20,            0.013541,           0.0097689,          1.6362e-07,             0.05011,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0002967,           0.0002967,           0.0002967
                  21,            0.013233,           0.0095462,          1.6449e-07,            0.050026,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00025008,          0.00025008,          0.00025008
                  22,             0.01286,           0.0093833,          1.6593e-07,             0.04994,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00020619,          0.00020619,          0.00020619
                  23,            0.012813,           0.0095193,          1.6734e-07,            0.049891,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016552,          0.00016552,          0.00016552
