               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19055,            0.021554,            0.020731,             0.51444,             0.17529,             0.30716,             0.13245,            0.026819,             0.16119,            0.024758,           0.0054659,             0.29438,            0.000128,            0.000128,            0.008848
                   1,             0.14646,            0.021916,           0.0020806,             0.22474,             0.27953,             0.13626,            0.086924,            0.015855,             0.12762,            0.024896,          0.00074066,             0.19383,          0.00025699,          0.00025699,            0.007687
                   2,             0.11788,            0.020629,          0.00049787,             0.18666,             0.55562,             0.36259,             0.35455,              0.1006,            0.099567,            0.024179,          0.00039685,             0.18809,          0.00038596,          0.00038596,            0.006526
                   3,              0.1039,            0.018394,          0.00032313,             0.18689,             0.47056,             0.33458,             0.27907,            0.083594,            0.083206,            0.021033,          0.00033529,             0.18686,          0.00051487,          0.00051487,           0.0053649
                   4,            0.096616,            0.016119,          0.00022257,             0.18395,             0.31715,             0.29069,               0.212,            0.055717,            0.090674,            0.018339,          0.00022111,             0.18576,          0.00064372,          0.00064372,           0.0042037
                   5,            0.094491,            0.015234,          0.00017658,             0.18407,             0.49999,             0.38337,             0.34549,             0.10948,            0.081749,             0.01758,          0.00018565,              0.1851,          0.00077247,          0.00077247,           0.0030425
                   6,            0.089924,            0.014028,          0.00015382,             0.18345,             0.53516,             0.51963,             0.47286,             0.14723,            0.077656,            0.015855,          0.00016169,              0.1844,          0.00090111,          0.00090111,           0.0018811
                   7,            0.085245,            0.012776,          0.00012699,             0.18296,             0.43388,             0.42494,             0.34263,             0.13018,             0.06876,            0.015139,          0.00013275,             0.18322,          0.00099866,          0.00099866,          0.00099866
                   8,            0.079862,            0.011853,          0.00011312,             0.18113,             0.49955,             0.51732,             0.48474,             0.17169,            0.068418,            0.015844,          0.00011683,             0.18223,          0.00099866,          0.00099866,          0.00099866
                   9,            0.084621,            0.012477,          0.00011282,             0.18084,             0.54541,             0.69271,             0.63003,             0.23002,            0.067431,            0.014346,          0.00015458,               0.181,          0.00099825,          0.00099825,          0.00099825
